"leftAssetId","rightAssetId","distance","leftUrl","rightUrl","leftDestination","rightDestination","exactUrlMatch","sameSourceAsset"
"corpus:ebdeae11b8e824011ebb318b","corpus:423ef435db6e49088e848036","0","https://images.pexels.com/photos/35819164/pexels-photo-35819164.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","https://images.pexels.com/photos/35819164/pexels-photo-35819164.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","비엔나","부다페스트","true","true"
"corpus:6b10bde548e619f48f093aa6","corpus:423ef435db6e49088e848036","0","https://images.pexels.com/photos/35819164/pexels-photo-35819164.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","https://images.pexels.com/photos/35819164/pexels-photo-35819164.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","수라바야","부다페스트","true","true"
"corpus:f8f53f71a5452b6873c19974","corpus:a25747b5a4dac08274c5a246","0","https://images.pexels.com/photos/38484227/pexels-photo-38484227.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","https://images.pexels.com/photos/38484227/pexels-photo-38484227.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","수라바야","만달레이","true","true"
"corpus:7c08668761659f73940a6a0c","corpus:6069132e17e6881c49d29e0f","0","https://images.pexels.com/photos/20874460/pexels-photo-20874460.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","https://images.pexels.com/photos/20874460/pexels-photo-20874460.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","나고야","나가사키","true","true"
"corpus:ab37e5f75256a1d031bb555e","corpus:1315e3ae7ecbeef7734edb08","0","https://images.pexels.com/photos/3490667/pexels-photo-3490667.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","https://images.pexels.com/photos/3490667/pexels-photo-3490667.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","나고야","센다이","true","true"
"corpus:182bdeb19f1684b55a3ed2a3","corpus:1d13015df132a7d8138bebc1","0","https://www.yeosonam.com/og-image.png?blog=shijiazhuang-3-4-budget&slot=3","https://www.yeosonam.com/og-image.png?blog=kualalumpur-singapore-malacca-weather","석가장","쿠알라룸푸르","false","true"
"corpus:182bdeb19f1684b55a3ed2a3","corpus:5c64abbfe3f4eb874d1d4e31","0","https://www.yeosonam.com/og-image.png?blog=shijiazhuang-3-4-budget&slot=3","https://www.yeosonam.com/og-image.png?blog=bangkok-june-rainy-season-weather-preparation-2026&slot=3","석가장","방콕","false","true"
"corpus:182bdeb19f1684b55a3ed2a3","corpus:f5b1a4532fa3fc92f60591c0","0","https://www.yeosonam.com/og-image.png?blog=shijiazhuang-3-4-budget&slot=3","https://www.yeosonam.com/og-image.png?blog=%ED%98%B8%ED%99%94%ED%98%B8%ED%8A%B9-6%EC%9B%94-%EB%82%A0%EC%94%A8%EC%99%80-%EC%98%B7%EC%B0%A8%EB%A6%BC-%EC%99%84%EB%B2%BD-%EA%B0%80%EC%9D%B4%EB%93%9C&slot=3","석가장","호화호특","false","true"
"corpus:182bdeb19f1684b55a3ed2a3","corpus:c289fc5add3237ec88394f09","0","https://www.yeosonam.com/og-image.png?blog=shijiazhuang-3-4-budget&slot=3","https://www.yeosonam.com/og-image.png?blog=%EB%82%98%ED%8A%B8%EB%9E%91-%EB%8B%AC%EB%9E%8F-%ED%99%94%ED%8F%90-%ED%99%98%EC%A0%84-%ED%8C%81-%EB%AC%B8%ED%99%94-%EC%B4%9D%EC%A0%95%EB%A6%AC&slot=3","석가장","나트랑","false","true"
"corpus:182bdeb19f1684b55a3ed2a3","corpus:fdbcfca898404ec342114246","0","https://www.yeosonam.com/og-image.png?blog=shijiazhuang-3-4-budget&slot=3","https://www.yeosonam.com/og-image.png?blog=%EC%BA%90%EB%82%98%EB%8B%A4-%EB%A1%9C%ED%82%A4%EC%82%B0%EB%A7%A5-7%EC%9B%94-%EC%97%AC%ED%96%89-%EB%A0%8C%ED%84%B0%EC%B9%B4-%EC%97%86%EC%9D%B4-%EB%8C%80%EC%A4%91%EA%B5%90%ED%86%B5%EC%9C%BC%EB%A1%9C-%EA%B0%80%EB%8A%A5%ED%95%A0%EA%B9%8C&slot=3&dedupe=2","석가장","캐나다 로키산맥","false","true"
